5-2-2003 15:30:59 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 15:31:8 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:28:55 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:29:28 | 200.171.25.167 | 200-171-25-167.dsl.telesp.net.br | /coweb/edit.php | 2 : 4.1.1.1 | Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Microchip July 1999)
5-2-2003 18:44:6 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 2 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:45:13 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:45:54 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:46:21 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:46:38 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:47:59 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
5-2-2003 18:48:11 | 143.107.232.80 | 143.107.232.80 | /coweb/create.php | 3 : 75.1 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
6-2-2003 8:50:33 | 143.107.232.80 | 143.107.232.80 | /coweb/edit.php | 2 : 59 | Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.0.0) Gecko/20020530
7-2-2003 11:13:27 | 143.107.231.211 | mexcal.intermidia.icmc.usp.br | /coweb/edit.php | 2 : 4.1 | Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.0.0) Gecko/20020529
7-2-2003 11:19:43 | 143.107.231.211 | mexcal.intermidia.icmc.usp.br | /coweb/edit.php | 2 : 4.1 | Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.0.0) Gecko/20020529
